"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Create course","LMS service","2026-09-10","passed","2026-09-10","Create entity","Courses","",""
"","401","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","11","Update exercise","LMS service","2026-09-10","passed","2026-09-10","Update entity","Exercises","",""
"","371","Login with correct email and password","LMS service","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","225","Delete exercise","LMS service","2026-09-10","passed","2026-09-10","Delete entity","Exercises","",""
"","207","Update course","LMS service","2026-09-10","passed","2026-09-10","Update entity","Courses","",""
"","8","Get user me","LMS service","2026-09-10","passed","2026-09-10","Get entity","Users","",""
"","184","Create file with empty directory","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","8","Get file","LMS service","2026-09-10","passed","2026-09-10","Get entity","Files","",""
"","381","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","192","Get file with incorrect file id","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","9","Create file with empty filename","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","10","Create file","LMS service","2026-09-10","passed","2026-09-10","Create entity","Files","",""
"","32","Create exercise","LMS service","2026-09-10","passed","2026-09-10","Create entity","Exercises","",""
"","203","Get courses","LMS service","2026-09-10","passed","2026-09-10","Get entities","Courses","",""
"","195","Get exercise","LMS service","2026-09-10","passed","2026-09-10","Get entity","Exercises","",""
"","199","Get exercises","LMS service","2026-09-10","passed","2026-09-10","Get entities","Exercises","",""
"","385","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","12","Delete file","LMS service","2026-09-10","passed","2026-09-10","Delete entity","Files","",""
