"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","19","Delete exercise","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Exercises","",""
"","276","Create file with empty directory","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","285","Get exercise","LMS service","2026-09-09","passed","2026-09-09","Get entity","Exercises","",""
"","31","Create course","LMS service","2026-09-09","passed","2026-09-09","Create entity","Courses","",""
"","555","Login with correct email and password","LMS service","2026-09-09","passed","2026-09-09","Login","Authentication","",""
"","560","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","30","Get courses","LMS service","2026-09-09","passed","2026-09-09","Get entities","Courses","",""
"","273","Create file","LMS service","2026-09-09","passed","2026-09-09","Create entity","Files","",""
"","16","Get file","LMS service","2026-09-09","passed","2026-09-09","Get entity","Files","",""
"","309","Update course","LMS service","2026-09-09","passed","2026-09-09","Update entity","Courses","",""
"","531","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","21","Update exercise","LMS service","2026-09-09","passed","2026-09-09","Update entity","Exercises","",""
"","13","Get user me","LMS service","2026-09-09","passed","2026-09-09","Get entity","Users","",""
"","290","Get exercises","LMS service","2026-09-09","passed","2026-09-09","Get entities","Exercises","",""
"","265","Get file with incorrect file id","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","269","Create file with empty filename","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","24","Create exercise","LMS service","2026-09-09","passed","2026-09-09","Create entity","Exercises","",""
"","23","Delete file","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Files","",""
