"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","Get exercise","LMS service","2026-09-09","passed","2026-09-09","Get entity","Exercises","",""
"","568","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","24","Delete file","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Files","",""
"","33","Create course","LMS service","2026-09-09","passed","2026-09-09","Create entity","Courses","",""
"","17","Get exercises","LMS service","2026-09-09","passed","2026-09-09","Get entities","Exercises","",""
"","304","Create file with empty directory","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","34","Create exercise","LMS service","2026-09-09","passed","2026-09-09","Create entity","Exercises","",""
"","322","Get courses","LMS service","2026-09-09","passed","2026-09-09","Get entities","Courses","",""
"","14","Get user me","LMS service","2026-09-09","passed","2026-09-09","Get entity","Users","",""
"","310","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","327","Update course","LMS service","2026-09-09","passed","2026-09-09","Update entity","Courses","",""
"","22","Delete exercise","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Exercises","",""
"","597","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","24","Create file","LMS service","2026-09-09","passed","2026-09-09","Create entity","Files","",""
"","289","Get file with incorrect file id","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","282","Create file with empty filename","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","306","Get file","LMS service","2026-09-09","passed","2026-09-09","Get entity","Files","",""
"","593","Login with correct email and password","LMS service","2026-09-09","passed","2026-09-09","Login","Authentication","",""
"","22","Update exercise","LMS service","2026-09-09","passed","2026-09-09","Update entity","Exercises","",""
