"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Get courses","LMS service","2026-09-10","passed","2026-09-10","Get entities","Courses","",""
"","302","Create file","LMS service","2026-09-10","passed","2026-09-10","Create entity","Files","",""
"","602","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","16","Create file with empty directory","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","21","Delete file","LMS service","2026-09-10","passed","2026-09-10","Delete entity","Files","",""
"","321","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","22","Update exercise","LMS service","2026-09-10","passed","2026-09-10","Update entity","Exercises","",""
"","19","Get file","LMS service","2026-09-10","passed","2026-09-10","Get entity","Files","",""
"","14","Get user me","LMS service","2026-09-10","passed","2026-09-10","Get entity","Users","",""
"","14","Get file with incorrect file id","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","27","Delete exercise","LMS service","2026-09-10","passed","2026-09-10","Delete entity","Exercises","",""
"","307","Create file with empty filename","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","319","Login with correct email and password","LMS service","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","20","Create exercise","LMS service","2026-09-10","passed","2026-09-10","Create entity","Exercises","",""
"","624","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","15","Get exercise","LMS service","2026-09-10","passed","2026-09-10","Get entity","Exercises","",""
"","20","Get exercises","LMS service","2026-09-10","passed","2026-09-10","Get entities","Exercises","",""
"","36","Create course","LMS service","2026-09-10","passed","2026-09-10","Create entity","Courses","",""
"","172","Update course","LMS service","2026-09-10","passed","2026-09-10","Update entity","Courses","",""
