"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","308","Get courses","LMS service","2026-09-10","passed","2026-09-10","Get entities","Courses","",""
"","362","Create file","LMS service","2026-09-10","passed","2026-09-10","Create entity","Files","",""
"","575","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","268","Create file with empty filename","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","183","Delete exercise","LMS service","2026-09-10","passed","2026-09-10","Delete entity","Exercises","",""
"","22","Update exercise","LMS service","2026-09-10","passed","2026-09-10","Update entity","Exercises","",""
"","199","Get exercises","LMS service","2026-09-10","passed","2026-09-10","Get entities","Exercises","",""
"","16","Create file with empty directory","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","306","Create course","LMS service","2026-09-10","passed","2026-09-10","Create entity","Courses","",""
"","24","Delete file","LMS service","2026-09-10","passed","2026-09-10","Delete entity","Files","",""
"","264","Create exercise","LMS service","2026-09-10","passed","2026-09-10","Create entity","Exercises","",""
"","15","Get user me","LMS service","2026-09-10","passed","2026-09-10","Get entity","Users","",""
"","313","Update course","LMS service","2026-09-10","passed","2026-09-10","Update entity","Courses","",""
"","295","Login with correct email and password","LMS service","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","395","Get exercise","LMS service","2026-09-10","passed","2026-09-10","Get entity","Exercises","",""
"","306","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","15","Get file","LMS service","2026-09-10","passed","2026-09-10","Get entity","Files","",""
"","599","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","19","Get file with incorrect file id","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
