"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get exercise","LMS service","2026-09-09","passed","2026-09-09","Get entity","Exercises","",""
"","268","Get file with incorrect file id","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","19","Update exercise","LMS service","2026-09-09","passed","2026-09-09","Update entity","Exercises","",""
"","17","Create file","LMS service","2026-09-09","passed","2026-09-09","Create entity","Files","",""
"","17","Get exercises","LMS service","2026-09-09","passed","2026-09-09","Get entities","Exercises","",""
"","13","Get user me","LMS service","2026-09-09","passed","2026-09-09","Get entity","Users","",""
"","553","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","15","Create file with empty filename","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","297","Get courses","LMS service","2026-09-09","passed","2026-09-09","Get entities","Courses","",""
"","27","Create exercise","LMS service","2026-09-09","passed","2026-09-09","Create entity","Exercises","",""
"","17","Get file","LMS service","2026-09-09","passed","2026-09-09","Get entity","Files","",""
"","308","Update course","LMS service","2026-09-09","passed","2026-09-09","Update entity","Courses","",""
"","543","Login with correct email and password","LMS service","2026-09-09","passed","2026-09-09","Login","Authentication","",""
"","149","Delete exercise","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Exercises","",""
"","554","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","288","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","266","Create file with empty directory","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","293","Delete file","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Files","",""
"","28","Create course","LMS service","2026-09-09","passed","2026-09-09","Create entity","Courses","",""
